conId,symbol,lastTradeDateOrContractMonth,strike,right,multiplier,exchange,currency,localSymbol,tradingClass,time,minTick,bid,bidSize,ask,askSize,last,lastSize,high,low,volume,close,bboExchange,snapshotPermissions,undPrice,bid_impliedVol,bid_delta,bid_optPrice,bid_pvDividend,bid_gamma,bid_vega,bid_theta,bid_undPrice,ask_impliedVol,ask_delta,ask_optPrice,ask_pvDividend,ask_gamma,ask_vega,ask_theta,ask_undPrice,last_impliedVol,last_delta,last_optPrice,last_pvDividend,last_gamma,last_vega,last_theta,last_undPrice,model_impliedVol,model_delta,model_optPrice,model_pvDividend,model_gamma,model_vega,model_theta,model_undPrice
767949395,SPY,20250317,549.0,C,100,SMART,USD,SPY   250317C00549000,SPY,2025-03-17 17:55:04.166180+00:00,0.01,17.68,289.0,18.55,441.0,14.81,1.0,16.95,14.58,15.0,14.21,c70003,3,567.1800000000001,,,17.68000030517578,0.0,,-2.0,-2.0,567.269775390625,1.2071032774843444,0.9527804682175607,18.549999237060547,0.0,0.008813486380637005,0.008533740846942806,-0.2834615919151702,567.260009765625,0.5893233391722302,0.9997185952559208,14.8100004196167,0.0,0.00019005158455661112,0.00014152619141327705,-0.0,567.260009765625,0.557756170474967,1.0000000000001135,18.333740234377615,0.0,1.1122507826410055e-13,-2.6147972675971687e-12,-2.6147972675971687e-12,567.333740234375
765590775,SPY,20250317,550.0,C,100,SMART,USD,SPY   250317C00550000,SPY,2025-03-17 17:55:04.166463+00:00,0.01,17.15,142.0,17.3,3.0,16.54,1.0,16.54,12.62,145.0,13.26,c70003,3,567.1800000000001,,,17.149999618530273,0.0,,-2.0,-2.0,567.269775390625,1.0612155422613123,0.9640033190503895,17.280000686645508,0.0,0.008055795482273314,0.008539739874418473,-0.013451151009235218,567.260009765625,0.8381207888231303,0.9884941641289049,16.540000915527344,0.0,0.00387315176425379,0.002527618201469295,-0.0,567.260009765625,0.5599883524624132,0.9999999999999469,17.333740234375,0.0,2.5962383950233606e-14,4.547473508864641e-13,-0.0,567.333740234375
766259210,SPY,20250317,551.0,C,100,SMART,USD,SPY   250317C00551000,SPY,2025-03-17 17:55:04.166833+00:00,0.01,16.15,152.0,16.3,3.0,12.87,1.0,15.18,11.82,130.0,12.31,c70003,3,567.1800000000001,,,16.149999618530273,0.0,,-2.0,-2.0,567.269775390625,0.8821082183524948,0.9791829897862048,16.280000686645508,0.0,0.0061401429066013785,0.004494775861267897,-0.013439260518225637,567.260009765625,1.1816191481490292,0.9353979854635663,12.869999885559082,0.0,0.011521607186178416,0.011807007364527777,-0.0,567.260009765625,0.561583965197713,0.9999999999999327,16.33374023437591,0.0,7.744518334424624e-14,-4.320099833421409e-12,-9.094947017729282e-13,567.333740234375
766259234,SPY,20250317,552.0,C,100,SMART,USD,SPY   250317C00552000,SPY,2025-03-17 17:55:04.167286+00:00,0.01,15.15,148.0,15.32,108.0,14.76,5.0,14.91,10.89,51.0,11.38,c70003,3,567.1800000000001,,,15.170000076293945,0.0,,-2.0,-2.0,567.269775390625,0.8356067241113788,0.9782055715577102,15.279999732971191,0.0,0.00674351221085818,0.005942243690393312,-0.013426416353013337,567.260009765625,0.6805449434381248,0.9932727111820163,14.760000228881836,0.0,0.002978524129647012,0.0015510071407245363,-0.0,567.260009765625,0.5616547584238082,0.9999558211420309,15.333740234378183,0.0,0.00035479369188618236,4.547473508864641e-13,-3.183231456205249e-12,567.333740234375
766259260,SPY,20250317,553.0,C,100,SMART,USD,SPY   250317C00553000,SPY,2025-03-17 17:55:04.167377+00:00,0.01,14.16,3.0,14.38,140.0,10.85,1.0,13.3,9.81,179.0,10.46,c70003,3,567.1800000000001,,,14.149999618530273,0.0,,-2.0,-2.0,567.269775390625,0.8215080226577555,0.9717595084077122,14.380000114440918,0.0,0.008489439793703426,0.005947977101538271,-0.113414907331844,567.260009765625,0.4581859043476016,0.9997221838916129,10.850000381469727,0.0,0.00024164305771913605,0.00014187695263956357,-0.0,567.260009765625,0.5586738803824001,0.9989493216582769,14.334139968315686,0.0,0.00153652811592824,0.0004584356433436909,-0.00039973394068582024,567.333740234375
766259299,SPY,20250317,554.0,C,100,SMART,USD,SPY   250317C00554000,SPY,2025-03-17 17:55:05.164155+00:00,0.01,13.16,369.0,13.3,3.0,12.0,1.0,12.07,8.72,182.0,9.56,c70003,3,567.1800000000001,,,13.15999984741211,0.0,,-2.0,-2.0,567.2349853515625,0.840780304779115,0.9581950503591574,13.300000190734863,0.0,0.01145410146635942,0.00856854672171714,-0.043412858759893425,567.25,0.48996714734778724,0.9985502518523482,12.0,0.0,0.0010362685471977417,0.0005124354342651571,-0.0,567.25,0.5505790318213156,0.9973078989801251,13.335655999157582,0.0,0.002463311099941691,0.000878033342621265,-0.0019157647825824853,567.333740234375
765911462,SPY,20250317,555.0,C,100,SMART,USD,SPY   250317C00555000,SPY,2025-03-17 17:55:05.164155+00:00,0.01,12.16,254.0,12.37,288.0,11.6,1.0,11.89,7.83,688.0,8.68,c70003,3,567.1800000000001,,,12.15999984741211,0.0,,-2.0,-2.0,567.2349853515625,0.6745770033443983,0.9770855480242108,12.369999885559082,0.0,0.008699058212468198,0.00595606330220555,-0.1134006630931026,567.25,0.5226358422675509,0.9949994056862269,11.600000381469727,0.0,0.002976692508292061,0.001553801218548756,-0.0,567.25,0.5355869048350832,0.9952124441492877,12.338163694568374,0.0,0.0035839507228513806,0.0012967552586413689,-0.00442346019337414,567.333740234375
766259320,SPY,20250317,556.0,C,100,SMART,USD,SPY   250317C00556000,SPY,2025-03-17 17:55:05.164656+00:00,0.01,11.16,289.0,11.29,3.0,10.9,2.0,11.29,6.94,1181.0,7.82,c70003,3,567.1800000000001,,,11.15999984741211,0.0,,-2.0,-2.0,567.2349853515625,0.8708001288217442,0.922524513061226,11.289999961853027,0.0,0.01806188227828823,0.014041319067993996,-0.03338884889615201,567.25,0.4482720310520599,0.9970600170371711,10.899999618530273,0.0,0.0021526103253125357,0.0009125985621292187,-0.0,567.25,0.5126162431606057,0.9933913223947192,11.340362232812073,0.0,0.004694320868098487,0.0021774793302835604,-0.006621998437072563,567.333740234375
766259353,SPY,20250317,557.0,C,100,SMART,USD,SPY   250317C00557000,SPY,2025-03-17 17:55:05.165237+00:00,0.01,10.11,398.0,10.87,5.0,10.0,1.0,10.3,6.09,1145.0,6.98,c70003,3,567.1800000000001,,,10.109999656677246,0.0,,-2.0,-2.0,567.2349853515625,0.8481314302552052,0.9071983175452053,10.869999885559082,0.0,0.021141625236041135,0.01573327394875257,-0.6133768821113108,567.25,0.5207331916012452,0.9844335453186892,10.0,0.0,0.008086959820478768,0.003974571892161549,-0.0,567.25,0.481878390355335,0.9913830806547159,10.34262991585562,0.0,0.006072801561820046,0.0022885783913757507,-0.008889681480619416,567.333740234375
766259380,SPY,20250317,558.0,C,100,SMART,USD,SPY   250317C00558000,SPY,2025-03-17 17:55:05.165843+00:00,0.01,9.14,322.0,9.24,3.0,9.3,1.0,9.3,5.13,1544.0,6.17,c70003,3,567.1800000000001,,,9.170000076293945,0.0,,-2.0,-2.0,567.2349853515625,0.5314490988942456,0.9715509521326295,9.289999961853027,0.0,0.013203775698289417,0.0059695892804629835,-0.023355302289246538,567.260009765625,0.42004714992138703,0.9922976556340198,9.300000190734863,0.0,0.005453667652213863,0.0025405872853401235,-0.033355531171082475,567.260009765625,0.4146316134571233,0.9893214385478033,8.8527400267733,0.0,0.008589481697060407,0.003098971368668657,-0.009295202554550741,567.333740234375
